Date,Title,Price,Star,Reviews,Brand,CPU,CPU_Segment,CPU_Segment_Detail,GPU,RAM,SSD,Screen_inch,Panel,OLED,Screen_HZ,Color,Link
20251113,"MSI - THIN 15 15.6"" 144Hz FHD Gaming Laptop-Intel Core i5-13420H - 16GB Memory - GeForce RTX 4050 - 512GB SSD - Black",749,4.5,312,MSI,Intel Core i5-13420H,Core i5,Core i5 13420H,RTX 4050,16,512GB,15.6,FHD,,144,Black,https://www.bestbuy.com/product/msi-thin-15-15-6-144hz-fhd-gaming-laptop-intel-core-i5-13420h-16gb-memory-geforce-rtx-4050-512gb-ssd-black/J3P7TXP686
20251113,"GIGABYTE - GAMING A16 - 16"" 165Hz 1920x1200 WUXGA Intel Core i7-13620H - 1TB SSD - 32GB DDR5 RAM - GeForce RTX 5060 - Black Steel",1199.99,4.5,59,GIGABYTE,Intel Core i7-13620H,Core i7,Core i7 13620H,RTX 5060,32,1TB,16,WUXGA,,165,Black Steel,https://www.bestbuy.com/product/gigabyte-gaming-a16-16-165hz-1920x1200-wuxga-intel-core-i7-13620h-1tb-ssd-32gb-ddr5-ram-geforce-rtx-5060-black-steel/J3GWPQC2TJ
20251113,"New! - MSI - 18"" Gaming Laptop 3840 x 2400 () - Intel Core Ultra 9 285HX with 96GB Memory - GeForce RTX 5090 - 6 TB SSD - Norse Myth Dragon Edition, Other",6199.99,,,MSI,Intel Core Ultra 9 285HX,Core Ultra 9,Core Ultra 9 285HX,RTX 5090,96,6TB,18,,,,"Norse Myth Dragon Edition, Other",https://www.bestbuy.com/product/msi-18-gaming-laptop-3840-x-2400--intel-core-ultra-9-285hx-with-96gb-memory-geforce-rtx-5090-6-tb-ssd-norse-myth-dragon-edition-other/J3P7TXRPQW
20251113,"MSI - Stealth A16 AI+ - Copilot+PC- 16"" 240Hz QHD+ OLED Ultra Thin Gaming Laptop - AMD Ryzen AI R9-365- 32GB -RTX 5080-1TB SSD - Core Black",2899.99,5,3,MSI,R9-365,Ryzen 9,Ryzen 9 365,RTX 5080,32,1TB,16,QHD,OLED,240,Core Black,https://www.bestbuy.com/product/msi-stealth-a16-ai-copilot-pc-16-240hz-qhd-oled-ultra-thin-gaming-laptop-amd-ryzen-ai-r9-365-32gb-rtx-5080-1tb-ssd-core-black/J3P7TXRSLL
20251113,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - AMD Ryzen 5 7235HS - 16GB Memory - NVIDIA GeForce RTX 4050 - 512GB SSD - Luna Grey",869.99,,,Lenovo,AMD Ryzen 5 7235HS,Ryzen 5,Ryzen 5 7235HS,RTX 4050,16,512GB,15.6,FULLHD,,,Luna Grey,https://www.bestbuy.com/product/lenovo-loq-15-6-full-hd-gaming-laptop-amd-ryzen-5-7235hs-16gb-memory-nvidia-geforce-rtx-4050-512gb-ssd-luna-grey/JJGH3SKKHG
20251113,"MSI - Vector 16 HX AI 400 16"" 240Hz QHD+ Gaming Laptop - Intel Ultra 9-275HX - GeForce RTX 5080 - 16GB Memory - 1TBSSD - Cosmo Gray",1899.99,4.3,28,MSI,Intel Ultra 9-275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5080,16,1TB,16,QHD,,240,Cosmo Gray,https://www.bestbuy.com/product/msi-vector-16-hx-ai-400-16-240hz-qhd-gaming-laptop-intel-ultra-9-275hx-geforce-rtx-5080-16gb-memory-1tbssd-cosmo-gray/J3P7TXRSQV/sku/6621600
20251113,"Lenovo - LOQ 15.6"" Full HD Gaming Laptop - AMD Ryzen 5 7235HS - 12GB Memory - NVIDIA GeForce RTX 4050 - 512GB SSD - Luna Grey",779,4.7,213,Lenovo,AMD Ryzen 5 7235HS,Ryzen 5,Ryzen 5 7235HS,RTX 4050,12,512GB,15.6,FULLHD,,,Luna Grey,https://www.bestbuy.com/product/lenovo-loq-15-6-full-hd-gaming-laptop-amd-ryzen-5-7235hs-12gb-memory-nvidia-geforce-rtx-4050-512gb-ssd-luna-grey/JJGSH8KPYR
20251113,"Alienware - Area-51 - 18"" 2.5K Gaming Laptop - Intel Core Ultra 9 275HX - 32GB Memory - NVIDIA GeForce RTX 5070 Ti - 2TB Storage - Liquid Teal",3299.99,4.8,49,Dell,Intel Core Ultra 9 275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5070 Ti,32,2TB,18,2.5K,,,Liquid Teal,https://www.bestbuy.com/product/alienware-area-51-18-2-5k-gaming-laptop-intel-core-ultra-9-275hx-32gb-memory-nvidia-geforce-rtx-5070-ti-2tb-storage-liquid-teal/J3K4L6QTGK
20251113,"Lenovo - Legion Pro 7i 16"" 2.5 K OLED Gaming Laptop - Intel Core Ultra 9 275HX - 32GB Memory - NVIDIA GeForce RTX 5080 - 2 TB SSD - Eclipse Black",2749.99,4.8,27,Lenovo,Intel Core Ultra 9 275HX,Core Ultra 9,Core Ultra 9 275HX,RTX 5080,32,2TB,16,,OLED,,Eclipse Black,https://www.bestbuy.com/product/lenovo-legion-pro-7i-16-2-5-k-oled-gaming-laptop-intel-core-ultra-9-275hx-32gb-memory-nvidia-geforce-rtx-5080-2-tb-ssd-eclipse-black/JJGSH3LVKX
20251113,"MSI - THIN A15 15.6"" 144Hz FHD Gaming Laptop - AMD R5-7535HS - GeForce RTX 4050 - 8GB Memory - 512GBSSD - Black",549.99,4.6,27,MSI,AMD R5-7535HS,Ryzen 5,Ryzen 5 7535HS,RTX 4050,8,512GB,15.6,FHD,,144,Black,https://www.bestbuy.com/product/msi-thin-a15-15-6-144hz-fhd-gaming-laptop-amd-r5-7535hs-geforce-rtx-4050-8gb-memory-512gbssd-black/J3P7TXRLYJ
20251113,"Lenovo - Legion Pro 5 16"" 2.5K OLED Gaming Laptop - AMD Ryzen 7 - 32GB Memory - NVIDIA GeForce RTX 5060 - 1TB SSD - Eclipse Black",1659.99,4.6,22,Lenovo,AMD Ryzen 7,Ryzen 7,Ryzen 7,RTX 5060,32,1TB,16,2.5K,OLED,,Eclipse Black,https://www.bestbuy.com/product/lenovo-legion-pro-5-16-2-5k-oled-gaming-laptop-amd-ryzen-7-32gb-memory-nvidia-geforce-rtx-5060-1tb-ssd-eclipse-black/JJGSHGT56G/sku/6619246
20251113,"ASUS - ROG Strix SCAR 18 18"" 2.5K 240Hz Gaming Laptop - Intel Core Ultra 9 HX - 32GB RAM - NVIDIA GeForce RTX 5090 - 2TB SSD - Off-Black",3899.99,3.6,29,ASUS,Intel Core Ultra 9,Core Ultra 9,Core Ultra 9,RTX 5090,32,2TB,18,2.5K,,240,Black,https://www.bestbuy.com/product/asus-rog-strix-scar-18-18-2-5k-240hz-gaming-laptop-intel-core-ultra-9-hx-32gb-ram-nvidia-geforce-rtx-5090-2tb-ssd-off-black/JJGGLHXJY3
20251113,"Acer - Predator Helios Neo 16S AI Gaming Laptop - 16"" OLED 240Hz - Intel Core Ultra 9 - NVIDIA GeForce RTX 5070Ti ??32GB ??1TB - Obsidian Black",1899.99,4.4,174,Acer,Intel Core Ultra 9,Core Ultra 9,Core Ultra 9,RTX 5070 Ti,32,1TB,16,,OLED,240,Obsidian Black,https://www.bestbuy.com/product/acer-predator-helios-neo-16s-ai-gaming-laptop-16-oled-240hz-intel-core-ultra-9-nvidia-geforce-rtx-5070ti-32gb-1tb-obsidian-black/JJ8V8H38XT/sku/6619312
